excluded_dimension,spearman,qwk_rounded,mae_rounded,exact_rounded,within_one_rounded
character_demand,0.938063357301699,0.8088510284645751,0.38333333333333336,0.6166666666666667,1.0
vocabulary_demand,0.9368381916995329,0.8151389958686366,0.36666666666666664,0.6333333333333333,1.0
grammar_sentence_demand,0.9201422762707532,0.8365246348293347,0.3,0.7,1.0
discourse_demand,0.925451560834011,0.8158836852487762,0.35,0.65,1.0
semantic_content_demand,0.9305153945628032,0.8243609881479366,0.3416666666666667,0.6583333333333333,1.0
character_plot_demand,0.9295950829964786,0.8186375700383368,0.3416666666666667,0.6583333333333333,1.0
genre_theme_demand,0.9312308420752506,0.81353591160221,0.375,0.625,1.0
illustration_independence,0.9313021152199014,0.8376877625115683,0.31666666666666665,0.6833333333333333,1.0
pinyin_annotation_reduction,0.9406333973823643,0.9210578251430827,0.16666666666666666,0.8333333333333334,1.0
layout_density,0.924004730900747,0.8428230218044533,0.2833333333333333,0.7166666666666667,1.0
