source_dataset,left_book_id,right_book_id,gold_difference,log_length_difference,absolute_log_length_difference,page_difference,score_difference_ra_scope,prediction_difference_ra_scope,score_difference_uniform_pool,prediction_difference_uniform_pool,score_difference_length,prediction_difference_length,score_difference_character,prediction_difference_character,score_difference_standard,prediction_difference_standard,score_difference_finetuned_macbert,prediction_difference_finetuned_macbert,score_difference_qwen_rubric,prediction_difference_qwen_rubric
storyweaver,storyweaver-266369,storyweaver-99709,1,-0.001546790718299107,0.001546790718299107,-3,-0.0029816627502436965,0,0.19532179832458496,1,-0.0022542891849877122,0,-0.0035568352076924548,0,0.7790484203500219,2,0.008049935102462324,0,0.6380841150655643,0
storyweaver,storyweaver-18461,storyweaver-99798,1,-0.002114165692335135,0.002114165692335135,0,0.09161376953125,0,0.18604588508605913,0,-0.00280005687391105,0,0.0020591488953094483,0,0.7670614214658613,1,-0.022137343883514404,0,0.5874163800826304,0
storyweaver,storyweaver-589577,storyweaver-99710,1,-0.005970166986504211,0.005970166986504211,-3,-0.058219909667968306,0,-0.06321096420288086,0,-0.008652423659145203,0,0.021116858409642614,0,-0.6793202002863485,0,0.41401140143473913,1,-0.7112659812063278,0
storyweaver,storyweaver-18459,storyweaver-329581,-1,0.0067796869853786745,0.0067796869853786745,9,-0.32947874069213867,1,-0.32947874069213867,1,0.005008908841091175,0,-0.05956747253893813,-2,0.8477130959049239,1,-2.1110693632314605,-3,0.09734771344665205,0
storyweaver,storyweaver-18601,storyweaver-19271,-1,0.007662872745568983,0.007662872745568983,0,-0.057217597961426225,0,-0.057217597961426225,0,0.00884753840492003,0,-0.024250680062164243,0,0.02466907922448458,0,-0.23813576872150133,0,0.5850886681298348,0
storyweaver,storyweaver-19807,storyweaver-92448,1,-0.008230499136515412,0.008230499136515412,-6,0.04831433296203569,0,0.04831433296203569,0,-0.011939767175819682,0,-0.019305669512152956,0,-0.5649303500404863,-1,0.7894330148895574,1,-0.03560742421041141,0
storyweaver,storyweaver-234421,storyweaver-266338,-1,0.009987598628348415,0.009987598628348415,3,-0.15575456619262695,0,-0.22664856910705566,0,0.013890343844468855,0,0.034597764009700605,0,-0.4164436023098843,-1,-0.5386369377374645,-1,0.2452797947542944,0
storyweaver,storyweaver-18745,storyweaver-589573,-1,0.010079278994702179,0.010079278994702179,3,-0.06466865539550826,0,0.0013382434844970703,1,0.01450989208856246,0,-0.00703005996066608,0,0.7018522478157885,1,-0.7039792413512864,-1,2.983057298328802,3
storyweaver,storyweaver-20412,storyweaver-20798,-1,0.013093476747019217,0.013093476747019217,0,0.14258742332458496,0,0.2263321876525879,0,0.019202884180597568,0,0.01475356857904453,0,1.0238723130270384,0,-0.15249953170617392,-1,-0.8521728428953637,-1
storyweaver,storyweaver-18453,storyweaver-18600,-1,0.016260520871780315,0.016260520871780315,7,-0.07257556915283203,0,-0.07257556915283203,0,0.021849859649130998,0,-0.015358016265770047,0,0.3836781740640287,0,-0.6804724683364234,-1,-0.4326971407446365,0
storyweaver,storyweaver-659376,storyweaver-99708,1,-0.01705798290457672,0.01705798290457672,-2,0.1576399803161621,0,0.1576399803161621,0,-0.024578587440090338,0,-0.017357244806716743,0,0.8025669046676551,2,-0.13007091979185725,0,-0.5164364972318936,-1
storyweaver,storyweaver-577649,storyweaver-577907,1,-0.019048194970694432,0.019048194970694432,0,0.009207725524902122,0,0.009207725524902122,0,-0.0040503761241788006,0,-0.0044053450615413325,0,0.12719844920762347,0,-0.0819118283689022,0,0.9985200503197125,1
storyweaver,storyweaver-22268,storyweaver-99712,-1,0.019139340210697853,0.019139340210697853,0,-0.2663726806640625,-1,-0.2663726806640625,-1,0.019206592319107818,0,0.00532436144705839,1,-0.6377688980869975,-1,-0.4522521700710058,-1,0.23662173920456553,0
storyweaver,storyweaver-18454,storyweaver-99717,-1,0.030153038170687374,0.030153038170687374,-3,-0.4795167446136479,-1,-0.4795167446136479,-1,0.014359051437274895,0,-0.02418161415686404,-2,-1.9925503698046512,-2,0.08430560678243637,0,-0.17445691608008929,0
storyweaver,storyweaver-19272,storyweaver-19877,1,-0.03415891881131916,0.03415891881131916,-4,0.20188856124877885,1,0.20188856124877885,1,-0.039638150437516284,0,-0.024838554725051143,0,0.802410619902282,1,0.06962039570013712,0,1.5857147739629909,2
storyweaver,storyweaver-18748,storyweaver-459241,-2,0.03615998141444354,0.03615998141444354,1,-0.6576890945434575,-1,-0.6576890945434575,-1,0.05299828269175988,0,-0.04881168209552822,0,-2.2099006823476683,-2,-0.4250431482990584,-1,1.2977061809332322,1
global_asp,global-asp-0126,global-asp-0331,1,-0.08455738802806323,0.08455738802806323,-4,0.44448304176330566,0,0.17630767822265647,0,-0.026530777724635968,0,0.04323229890174929,1,0.24351675041618837,0,0.44501296958575653,0,-0.05089956129532802,0
storyweaver,storyweaver-18449,storyweaver-412394,-2,0.09002615165771921,0.09002615165771921,4,-0.3110067844390869,-1,-0.3110067844390869,-1,0.06507473956497734,0,-0.0008267558391574781,0,-0.6091229342351498,-1,-0.6991528365761039,-1,-0.44914790264374505,1
storyweaver,storyweaver-21482,storyweaver-99719,1,-0.09237332013101529,0.09237332013101529,1,-0.10767936706542969,0,-0.10767936706542969,0,-0.10635458055660685,0,-0.026861234773357445,0,0.34374920021577116,1,-0.6412499571839971,-1,0.7627628396348878,1
storyweaver,storyweaver-113528,storyweaver-20873,1,-0.13300824325344873,0.13300824325344873,9,0.20939350128173784,2,0.20939350128173784,2,-0.15171814156775865,0,0.008807965184935984,0,1.877141762604449,2,-0.8966567615667984,-1,-0.013561427866761733,0
global_asp,global-asp-0176,global-asp-0212,-1,0.14842000511827314,0.14842000511827314,5,0.3306678533554075,0,0.3306678533554075,0,0.032677018183985274,0,-0.018818538649948202,0,1.3683035030282613,1,-0.05949048822124792,0,0.08027509558422352,0
