source_dataset,left_book_id,right_book_id,gold_difference,log_length_difference,absolute_log_length_difference,page_difference,score_difference_ra_scope,prediction_difference_ra_scope,score_difference_uniform_pool,prediction_difference_uniform_pool,score_difference_length,prediction_difference_length,score_difference_character,prediction_difference_character,score_difference_standard,prediction_difference_standard,score_difference_finetuned_macbert,prediction_difference_finetuned_macbert,score_difference_qwen_rubric,prediction_difference_qwen_rubric
global_asp,global-asp-0002,global-asp-0129,-1,0.0,0.0,1,0.6549291610717773,0,0.3294779062271118,0,0.0,0,0.05717993566727442,1,1.1740484310216424,1,0.0866827961678307,0,0.01914257432508748,0
global_asp,global-asp-0123,global-asp-0215,1,0.0,0.0,3,0.15899085998535156,0,-0.03440821170806885,0,0.0,0,0.02272671570292628,0,-0.2317631071365449,0,0.07140375301241852,0,-0.8853626810175683,-1
storyweaver,storyweaver-18745,storyweaver-21473,-1,-0.0014316394714377623,0.0014316394714377623,10,0.02311301231384233,0,0.2354133129119873,1,-0.002058554028354642,0,0.0292601740824856,0,1.7944499433646928,3,-0.8799982741475105,-2,2.48205124526028,3
storyweaver,storyweaver-266369,storyweaver-99709,1,-0.001546790718299107,0.001546790718299107,-3,-0.0029816627502436965,0,0.19532179832458496,1,-0.0022542891849877122,0,-0.0035568352076924548,0,0.7790484203500219,2,0.008049935102462324,0,0.6380841150655643,0
storyweaver,storyweaver-20412,storyweaver-21485,-1,-0.001624695727001857,0.001624695727001857,-3,0.048492431640625,0,0.07441973686218217,0,-0.002381290434236849,0,-0.005850525174147858,0,0.2045300080178265,0,0.10138119757175401,0,-1.8469495996076475,-2
storyweaver,storyweaver-18461,storyweaver-99798,1,-0.002114165692335135,0.002114165692335135,0,0.09161376953125,0,0.18604588508605913,0,-0.00280005687391105,0,0.0020591488953094483,0,0.7670614214658613,1,-0.022137343883514404,0,0.5874163800826304,0
storyweaver,storyweaver-589577,storyweaver-99710,1,-0.005970166986504211,0.005970166986504211,-3,-0.058219909667968306,0,-0.06321096420288086,0,-0.008652423659145203,0,0.021116858409642614,0,-0.6793202002863485,0,0.41401140143473913,1,-0.7112659812063278,0
storyweaver,storyweaver-18459,storyweaver-329581,-1,0.0067796869853786745,0.0067796869853786745,9,-0.32947874069213867,1,-0.32947874069213867,1,0.005008908841091175,0,-0.05956747253893813,-2,0.8477130959049239,1,-2.1110693632314605,-3,0.09734771344665205,0
storyweaver,storyweaver-412394,storyweaver-99713,2,0.007272759329080003,0.007272759329080003,0,0.43184542655944824,2,0.43184542655944824,2,0.004996472081326253,0,-0.017214351586881005,-1,1.7806831569488426,2,-0.04108288139104843,0,-2.770488044470731,-4
storyweaver,storyweaver-18601,storyweaver-19271,-1,0.007662872745568983,0.007662872745568983,0,-0.057217597961426225,0,-0.057217597961426225,0,0.00884753840492003,0,-0.024250680062164243,0,0.02466907922448458,0,-0.23813576872150133,0,0.5850886681298348,0
storyweaver,storyweaver-19807,storyweaver-92448,1,-0.008230499136515412,0.008230499136515412,-6,0.04831433296203569,0,0.04831433296203569,0,-0.011939767175819682,0,-0.019305669512152956,0,-0.5649303500404863,-1,0.7894330148895574,1,-0.03560742421041141,0
storyweaver,storyweaver-234421,storyweaver-266338,-1,0.009987598628348415,0.009987598628348415,3,-0.15575456619262695,0,-0.22664856910705566,0,0.013890343844468855,0,0.034597764009700605,0,-0.4164436023098843,-1,-0.5386369377374645,-1,0.2452797947542944,0
