dataset,left,right,disagreement_rate,signed_error_pearson
core120,length,character,0.6583333333333333,0.2444833129751509
core120,length,standard,0.49166666666666664,0.1664710192873708
core120,length,macbert,0.31666666666666665,0.4771098039323628
core120,character,standard,0.7416666666666667,0.1753469803738659
core120,character,macbert,0.7,0.32124796147528334
core120,standard,macbert,0.55,-0.03539860264336451
waveD28,length,character,0.75,0.3599777428490368
waveD28,length,standard,0.5357142857142857,0.174708305617341
waveD28,length,macbert,0.21428571428571427,0.7018835370301612
waveD28,character,standard,0.6785714285714286,0.11471456566124957
waveD28,character,macbert,0.7857142857142857,0.42654167327831194
waveD28,standard,macbert,0.5714285714285714,0.16985750553119877
