dataset,slice_type,slice_name,books,lineage_groups,inferential_status,method,qwk,mae,exact_accuracy,adjacent_accuracy,catastrophic_error_rate
core120,overall,all,120,120,secondary_cluster_bootstrap,ra_scope,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.9916666666666667,0.008333333333333333
core120,overall,all,120,120,secondary_cluster_bootstrap,uniform_pool,0.790383704405495,0.4583333333333333,0.5583333333333333,0.9833333333333333,0.016666666666666666
core120,overall,all,120,120,secondary_cluster_bootstrap,length_ordinal,0.7667668705296984,0.5416666666666666,0.49166666666666664,0.975,0.025
core120,overall,all,120,120,secondary_cluster_bootstrap,char_tfidf,0.5773647448798389,0.7083333333333334,0.425,0.875,0.125
core120,overall,all,120,120,secondary_cluster_bootstrap,standard_measurements,0.6223903177004539,0.6333333333333333,0.4666666666666667,0.9166666666666666,0.08333333333333333
core120,overall,all,120,120,secondary_cluster_bootstrap,finetuned_macbert,0.763140817650876,0.5583333333333333,0.4666666666666667,0.975,0.025
core120,overall,all,120,120,secondary_cluster_bootstrap,qwen25_3b_rubric,0.5380247763248449,0.825,0.425,0.8166666666666667,0.18333333333333332
core120,source,global_asp,23,23,secondary_cluster_bootstrap,ra_scope,0.7948463825569871,0.391304347826087,0.6086956521739131,1.0,0.0
core120,source,global_asp,23,23,secondary_cluster_bootstrap,uniform_pool,0.7044967880085653,0.43478260869565216,0.6086956521739131,0.9565217391304348,0.043478260869565216
core120,source,global_asp,23,23,secondary_cluster_bootstrap,length_ordinal,0.7148760330578512,0.5217391304347826,0.4782608695652174,1.0,0.0
core120,source,global_asp,23,23,secondary_cluster_bootstrap,char_tfidf,0.7214532871972319,0.5217391304347826,0.5217391304347826,0.9565217391304348,0.043478260869565216
core120,source,global_asp,23,23,secondary_cluster_bootstrap,standard_measurements,0.5062146892655368,0.5652173913043478,0.5652173913043478,0.8695652173913043,0.13043478260869565
core120,source,global_asp,23,23,secondary_cluster_bootstrap,finetuned_macbert,0.7462387161484454,0.4782608695652174,0.5217391304347826,1.0,0.0
core120,source,global_asp,23,23,secondary_cluster_bootstrap,qwen25_3b_rubric,0.7547974413646056,0.43478260869565216,0.5652173913043478,1.0,0.0
core120,source,global_digital_library,8,8,descriptive_only_sparse,ra_scope,0.5428571428571428,0.5,0.5,1.0,0.0
core120,source,global_digital_library,8,8,descriptive_only_sparse,uniform_pool,0.5428571428571428,0.5,0.5,1.0,0.0
core120,source,global_digital_library,8,8,descriptive_only_sparse,length_ordinal,0.41666666666666674,0.875,0.125,1.0,0.0
core120,source,global_digital_library,8,8,descriptive_only_sparse,char_tfidf,0.625,0.375,0.625,1.0,0.0
core120,source,global_digital_library,8,8,descriptive_only_sparse,standard_measurements,0.4736842105263158,0.625,0.375,1.0,0.0
core120,source,global_digital_library,8,8,descriptive_only_sparse,finetuned_macbert,0.41463414634146345,0.75,0.25,1.0,0.0
core120,source,global_digital_library,8,8,descriptive_only_sparse,qwen25_3b_rubric,0.5294117647058824,0.25,0.75,1.0,0.0
core120,source,storyweaver,89,89,secondary_cluster_bootstrap,ra_scope,0.7746250243490682,0.4157303370786517,0.5955056179775281,0.9887640449438202,0.011235955056179775
core120,source,storyweaver,89,89,secondary_cluster_bootstrap,uniform_pool,0.7428264229554465,0.4606741573033708,0.550561797752809,0.9887640449438202,0.011235955056179775
core120,source,storyweaver,89,89,secondary_cluster_bootstrap,length_ordinal,0.7149719775820657,0.5168539325842697,0.5280898876404494,0.9662921348314607,0.033707865168539325
core120,source,storyweaver,89,89,secondary_cluster_bootstrap,char_tfidf,0.24211053598263477,0.7865168539325843,0.38202247191011235,0.8426966292134831,0.15730337078651685
core120,source,storyweaver,89,89,secondary_cluster_bootstrap,standard_measurements,0.5858538855281527,0.651685393258427,0.449438202247191,0.9213483146067416,0.07865168539325842
core120,source,storyweaver,89,89,secondary_cluster_bootstrap,finetuned_macbert,0.6996866714871053,0.5617977528089888,0.47191011235955055,0.9662921348314607,0.033707865168539325
core120,source,storyweaver,89,89,secondary_cluster_bootstrap,qwen25_3b_rubric,0.349625869688881,0.9775280898876404,0.3595505617977528,0.7528089887640449,0.24719101123595505
core120,level_band,L1-L2,46,46,secondary_cluster_bootstrap,ra_scope,0.22547584187408498,0.5,0.5,1.0,0.0
core120,level_band,L1-L2,46,46,secondary_cluster_bootstrap,uniform_pool,0.22547584187408498,0.5,0.5,1.0,0.0
core120,level_band,L1-L2,46,46,secondary_cluster_bootstrap,length_ordinal,0.10039113428943935,0.6521739130434783,0.34782608695652173,1.0,0.0
core120,level_band,L1-L2,46,46,secondary_cluster_bootstrap,char_tfidf,0.1789473684210524,0.9565217391304348,0.391304347826087,0.6739130434782609,0.32608695652173914
core120,level_band,L1-L2,46,46,secondary_cluster_bootstrap,standard_measurements,0.04045512010113772,0.6304347826086957,0.41304347826086957,0.9565217391304348,0.043478260869565216
core120,level_band,L1-L2,46,46,secondary_cluster_bootstrap,finetuned_macbert,0.1776239907727798,0.6739130434782609,0.32608695652173914,1.0,0.0
core120,level_band,L1-L2,46,46,secondary_cluster_bootstrap,qwen25_3b_rubric,0.2023752969121142,0.7608695652173914,0.4782608695652174,0.8913043478260869,0.10869565217391304
core120,level_band,L3,40,40,secondary_cluster_bootstrap,ra_scope,,0.375,0.65,0.975,0.025
core120,level_band,L3,40,40,secondary_cluster_bootstrap,uniform_pool,,0.325,0.7,0.975,0.025
core120,level_band,L3,40,40,secondary_cluster_bootstrap,length_ordinal,,0.525,0.525,0.95,0.05
core120,level_band,L3,40,40,secondary_cluster_bootstrap,char_tfidf,,0.9,0.1,1.0,0.0
