dataset,slice_type,slice_name,books,lineage_groups,primary,comparator,qwk_delta_low,qwk_delta_median,qwk_delta_high,qwk_delta_valid_replicates,mae_delta_low,mae_delta_median,mae_delta_high,mae_delta_valid_replicates,exact_accuracy_delta_low,exact_accuracy_delta_median,exact_accuracy_delta_high,exact_accuracy_delta_valid_replicates,catastrophic_error_rate_delta_low,catastrophic_error_rate_delta_median,catastrophic_error_rate_delta_high,catastrophic_error_rate_delta_valid_replicates,primary_better,tie,primary_worse
core120,overall,all,120,120,ra_scope,uniform_pool,0.00532916274513868,0.03131677502405478,0.06531192401371022,10000,-0.09166666666666667,-0.04166666666666663,0.008333333333333304,10000,-0.008333333333333415,0.033333333333333326,0.08333333333333331,10000,-0.025,-0.008333333333333333,0.0,10000,7,111,2
core120,overall,all,120,120,ra_scope,length_ordinal,0.013375915616210286,0.05364634594489437,0.1135177729455259,10000,-0.20833333333333337,-0.125,-0.041666666666666685,10000,0.025000000000000022,0.09999999999999998,0.17500000000000004,10000,-0.04166666666666667,-0.016666666666666666,0.0,10000,19,96,5
core120,overall,all,120,120,ra_scope,char_tfidf,0.1409228848341201,0.2452944307040359,0.36203896868488233,10000,-0.4416666666666667,-0.2916666666666667,-0.14166666666666666,10000,0.04999999999999993,0.16666666666666669,0.2833333333333334,10000,-0.18333333333333332,-0.11666666666666667,-0.05833333333333333,10000,45,56,19
core120,overall,all,120,120,ra_scope,standard_measurements,0.10388288568352758,0.19886505083682532,0.3115838233402469,10000,-0.33333333333333337,-0.21666666666666667,-0.10833333333333334,10000,0.03333333333333338,0.125,0.21666666666666662,10000,-0.125,-0.075,-0.03333333333333333,10000,29,83,8
core120,overall,all,120,120,ra_scope,finetuned_macbert,0.007252898604800396,0.059771189577203065,0.11781888993422522,10000,-0.25000000000000006,-0.14166666666666666,-0.033333333333333326,10000,0.02499999999999991,0.125,0.22500000000000003,10000,-0.05,-0.016666666666666666,0.016666666666666666,10000,30,76,14
core120,overall,all,120,120,ra_scope,qwen25_3b_rubric,0.17297444659647762,0.2836105749996756,0.40457057334802105,10000,-0.6083333333333333,-0.4083333333333334,-0.22499999999999998,10000,0.033333333333333326,0.16666666666666669,0.30000000000000004,10000,-0.25,-0.175,-0.10833333333333334,10000,57,36,27
core120,source,global_asp,23,23,ra_scope,uniform_pool,0.0,0.08636787508862787,0.17241974218757883,10000,-0.13043478260869568,-0.04347826086956519,0.0,10000,0.0,0.0,0.0,10000,-0.13043478260869565,-0.043478260869565216,0.0,10000,1,22,0
core120,source,global_asp,23,23,ra_scope,length_ordinal,0.0,0.08215588315104311,0.2705159048382786,10000,-0.26086956521739135,-0.13043478260869562,0.0,10000,0.0,0.13043478260869565,0.26086956521739135,10000,0.0,0.0,0.0,10000,3,20,0
core120,source,global_asp,23,23,ra_scope,char_tfidf,-0.14369722059620132,0.06621254603123489,0.2695244625242222,10000,-0.47826086956521735,-0.13043478260869565,0.17391304347826092,10000,-0.21739130434782605,0.08695652173913049,0.3913043478260869,10000,-0.13043478260869565,-0.043478260869565216,0.0,10000,7,11,5
core120,source,global_asp,23,23,ra_scope,standard_measurements,-0.01985719888888791,0.2779271209834068,0.5592993785457157,10000,-0.5217391304347826,-0.17391304347826086,0.13043478260869562,10000,-0.17391304347826086,0.04347826086956519,0.26086956521739135,10000,-0.2608695652173913,-0.13043478260869565,0.0,10000,5,15,3
core120,source,global_asp,23,23,ra_scope,finetuned_macbert,0.0,0.04731497644386895,0.20090434106390728,10000,-0.2173913043478261,-0.08695652173913043,0.0,10000,0.0,0.08695652173913043,0.2173913043478261,10000,0.0,0.0,0.0,10000,2,21,0
core120,source,global_asp,23,23,ra_scope,qwen25_3b_rubric,-0.13135551849471824,0.04628701162377069,0.36720699035235393,10000,-0.3478260869565218,-0.043478260869565244,0.3043478260869565,10000,-0.3043478260869565,0.04347826086956519,0.3478260869565218,10000,0.0,0.0,0.0,10000,8,8,7
core120,source,storyweaver,89,89,ra_scope,uniform_pool,-0.0012228142201093802,0.030940095822186375,0.06974932437275226,10000,-0.1123595505617977,-0.0449438202247191,0.011235955056179803,10000,-0.011235955056179803,0.0449438202247191,0.1123595505617977,10000,0.0,0.0,0.0,10000,6,81,2
core120,source,storyweaver,89,89,ra_scope,length_ordinal,-0.0028465831145170224,0.05540599325864831,0.14490290871334338,10000,-0.20224719101123595,-0.10112359550561795,0.0,10000,-0.022471910112359494,0.06741573033707865,0.1573033707865168,10000,-0.056179775280898875,-0.02247191011235955,0.0,10000,13,71,5
core120,source,storyweaver,89,89,ra_scope,char_tfidf,0.3720215916203359,0.5338528286401956,0.6842865643588363,10000,-0.5393258426966292,-0.37078651685393255,-0.1910112359550562,10000,0.07865168539325845,0.21348314606741575,0.348314606741573,10000,-0.2247191011235955,-0.14606741573033707,-0.06741573033707865,10000,36,42,11
core120,source,storyweaver,89,89,ra_scope,standard_measurements,0.0850563409184161,0.18670131172146986,0.31293646052707036,10000,-0.35955056179775285,-0.23595505617977525,-0.1123595505617978,10000,0.044943820224719155,0.1460674157303371,0.24719101123595505,10000,-0.12359550561797752,-0.06741573033707865,-0.02247191011235955,10000,22,63,4
core120,source,storyweaver,89,89,ra_scope,finetuned_macbert,-0.004260252064214231,0.07560334521566253,0.16319125577759622,10000,-0.2921348314606741,-0.1460674157303371,0.0,10000,-0.011235955056179747,0.1235955056179775,0.2474719101123555,10000,-0.06741573033707865,-0.02247191011235955,0.02247191011235955,10000,26,49,14
core120,source,storyweaver,89,89,ra_scope,qwen25_3b_rubric,0.2693342360982686,0.42433322617886815,0.5822677081465648,10000,-0.797752808988764,-0.5617977528089888,-0.3258426966292135,10000,0.07865168539325845,0.2359550561797753,0.38202247191011235,10000,-0.33707865168539325,-0.23595505617977527,-0.14606741573033707,10000,47,26,16
core120,level_band,L1-L2,46,46,ra_scope,uniform_pool,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0,46,0
core120,level_band,L1-L2,46,46,ra_scope,length_ordinal,0.02109716582253447,0.11816998766245845,0.2583057146733149,9999,-0.2826086956521739,-0.15217391304347827,-0.04347826086956519,10000,0.04347826086956519,0.15217391304347827,0.2826086956521739,10000,0.0,0.0,0.0,10000,8,37,1
core120,level_band,L1-L2,46,46,ra_scope,char_tfidf,-0.10328527618603238,0.0436719346465988,0.2160963159859893,10000,-0.7608695652173914,-0.4565217391304348,-0.15217391304347827,10000,-0.08695652173913043,0.10869565217391303,0.30434782608695654,10000,-0.45652173913043476,-0.32608695652173914,-0.1956521739130435,10000,21,16,9
core120,level_band,L1-L2,46,46,ra_scope,standard_measurements,-0.05921324683619299,0.17998974667885664,0.45296721579543603,10000,-0.3043478260869566,-0.13043478260869568,0.04347826086956519,10000,-0.06521739130434778,0.08695652173913043,0.2391304347826087,10000,-0.10869565217391304,-0.043478260869565216,0.0,10000,8,34,4
core120,level_band,L1-L2,46,46,ra_scope,finetuned_macbert,-0.059852389306886244,0.04677411154608746,0.1791650328496273,10000,-0.3043478260869566,-0.17391304347826086,-0.04347826086956519,10000,0.04347826086956519,0.17391304347826086,0.3043478260869566,10000,0.0,0.0,0.0,10000,10,34,2
core120,level_band,L1-L2,46,46,ra_scope,qwen25_3b_rubric,-0.13322878610326422,0.017832263224153155,0.16916034781949305,10000,-0.6304347826086958,-0.2608695652173913,0.08695652173913038,10000,-0.21739130434782616,0.021739130434782594,0.26086956521739135,10000,-0.1956521739130435,-0.10869565217391304,-0.021739130434782608,10000,19,11,16
core120,level_band,L3,40,40,ra_scope,uniform_pool,,,,0,0.0,0.04999999999999999,0.125,10000,-0.125,-0.04999999999999993,0.0,10000,0.0,0.0,0.0,10000,0,38,2
core120,level_band,L3,40,40,ra_scope,length_ordinal,,,,0,-0.325,-0.15000000000000002,0.025000000000000022,10000,-0.04999999999999993,0.125,0.3,10000,-0.07500000000000001,-0.025,0.0,10000,10,26,4
core120,level_band,L3,40,40,ra_scope,char_tfidf,,,,0,-0.725,-0.525,-0.32499999999999996,10000,0.3743750000000005,0.55,0.725,10000,0.0,0.025,0.075,10000,24,13,3
core120,level_band,L3,40,40,ra_scope,standard_measurements,,,,0,-0.17500000000000004,-0.04999999999999999,0.07500000000000001,10000,-0.125,-0.025000000000000022,0.07500000000000007,10000,-0.175,-0.075,0.0,10000,5,32,3
