dataset,primary,comparator,qwk_delta_low,qwk_delta_median,qwk_delta_high,mae_delta_low,mae_delta_median,mae_delta_high,primary_better,tie,primary_worse
core120,ra_scope,uniform_pool,0.0050349909522713265,0.031119381237359633,0.06598147142783119,-0.09166666666666667,-0.04166666666666663,0.008333333333333304,7,111,2
core120,ra_scope,full_agreement_without_support,0.0,0.0,0.0,0.0,0.0,0.0,0,120,0
core120,ra_scope,both_anchors_supported,-0.0074833412505991345,0.007103304526510534,0.024906087341094667,-0.041666666666666685,-0.008333333333333304,0.025000000000000022,3,115,2
core120,ra_scope,qualified_subset_contract,-0.008372566039933256,0.022654518873579665,0.0648579864258818,-0.10000000000000003,-0.033333333333333326,0.033333333333333326,8,107,5
core120,ra_scope,length_ordinal,0.012989142923473277,0.05379082316809081,0.1138644973101762,-0.20833333333333331,-0.125,-0.04999999999999999,19,96,5
core120,ra_scope,char_tfidf,0.14104572852805689,0.24456608434842853,0.3635422567507255,-0.44166666666666665,-0.29166666666666663,-0.14166666666666666,45,56,19
core120,ra_scope,standard_measurements,0.10384724156293265,0.19861272217671927,0.3131717735066357,-0.33333333333333337,-0.21666666666666662,-0.10833333333333328,29,83,8
core120,ra_scope,finetuned_macbert,0.008024346212386558,0.059368264526183434,0.11757076658031015,-0.25000000000000006,-0.14166666666666666,-0.033333333333333326,30,76,14
core120,ra_scope,qwen25_3b_rubric,0.17349836615396186,0.28362640632136693,0.40267370662539975,-0.6000000000000001,-0.4083333333333333,-0.21666666666666667,57,36,27
waveD28,ra_scope,uniform_pool,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0
waveD28,ra_scope,full_agreement_without_support,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0
waveD28,ra_scope,both_anchors_supported,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0
waveD28,ra_scope,qualified_subset_contract,-0.05983902147077751,-0.014892389589062915,0.005089792765144338,0.0,0.0357142857142857,0.10714285714285715,0,27,1
waveD28,ra_scope,length_ordinal,-0.035812173152658215,0.013504508761605638,0.08250238179376378,-0.14285714285714288,-0.0357142857142857,0.07142857142857145,2,25,1
waveD28,ra_scope,char_tfidf,0.09849855231348743,0.2935409616635172,0.48208586017407923,-0.7142857142857143,-0.39285714285714285,-0.07142857142857145,10,15,3
waveD28,ra_scope,standard_measurements,0.0014815144028986682,0.1625698149837716,0.4158699171847744,-0.3928571428571429,-0.14285714285714285,0.10714285714285715,7,17,4
waveD28,ra_scope,finetuned_macbert,0.030138351843186487,0.11472830687765767,0.2268880920292646,-0.35714285714285715,-0.17857142857142855,0.0,6,21,1
waveD28,ra_scope,qwen25_3b_rubric,0.007827619819525091,0.177660071243398,0.3132477297739073,-0.6428571428571429,-0.32142857142857145,0.0,11,12,5
