dataset,state,books,mae,exact_accuracy,adjacent_accuracy,catastrophic_error_rate,projection_active
sourceOOF,support_backed_consensus,32,0.1875,0.8125,1.0,0.0,True
sourceOOF,supported_conflict,51,0.5294117647058824,0.5098039215686274,0.9803921568627451,0.0196078431372549,False
sourceOOF,unsupported_consensus,3,0.3333333333333333,0.6666666666666666,1.0,0.0,False
sourceOOF,unsupported_conflict,10,0.5,0.5,1.0,0.0,False
core120,support_backed_consensus,38,0.2894736842105263,0.7105263157894737,1.0,0.0,True
core120,supported_conflict,46,0.45652173913043476,0.5652173913043478,0.9782608695652174,0.021739130434782608,False
core120,unsupported_consensus,3,0.6666666666666666,0.3333333333333333,1.0,0.0,False
core120,unsupported_conflict,33,0.48484848484848486,0.5151515151515151,1.0,0.0,False
waveD28,support_backed_consensus,7,0.2857142857142857,0.7142857142857143,1.0,0.0,True
waveD28,supported_conflict,11,0.5454545454545454,0.45454545454545453,1.0,0.0,False
waveD28,unsupported_conflict,10,0.3,0.7,1.0,0.0,False
